track_id,race_date,race_number,distance_id,distance_unit,distance,surface,race_type,purse,registration_number,horse_name,post_position,gate,position,official_position,sectional_time,running_time,time_behind,distance_behind,distance_ran,cumulative_distance_ran,strides,cumulative_strides,is_about_distance,is_graded_race,distance_furlongs,distance_meters_expected,distance_label,is_nonstandard_distance,race_key,horse_race_key
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,6.5,8,7,7.49,7.485,0.953,16.3,100.6,100.6,18.8,18.8,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,6.0,8,7,5.51,12.994,0.861,15.6,100.6,201.2,13.6,32.4,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,5.5,7,7,5.55,18.543,0.714,12.8,100.6,301.79999999999995,13.6,46.0,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,5.0,7,7,5.64,24.184,0.644,11.3,100.6,402.4,13.9,59.9,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,4.5,6,7,5.73,29.91,0.622,10.7,100.6,503.0,13.9,73.8,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,4.0,6,7,5.9,35.806,0.671,11.2,100.6,603.6,14.2,88.0,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,3.5,6,7,5.95,41.749,0.819,13.3,100.6,704.2,14.4,102.4,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,3.0,7,7,6.21,47.956,0.926,14.4,100.7,804.9000000000001,15.0,117.4,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,2.5,5,7,6.61,54.572,0.97,14.7,102.5,907.4000000000001,16.0,133.4,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,2.0,5,7,6.98,61.555,1.098,16.3,104.6,1012.0000000000001,16.4,149.8,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,1.5,6,7,7.32,68.874,1.25,18.3,103.8,1115.8000000000002,16.8,166.60000000000002,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,1.0,7,7,7.06,75.939,1.269,18.2,100.6,1216.4,16.4,183.00000000000003,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,0.5,7,7,7.13,83.068,1.424,20.2,100.6,1317.0,16.4,199.40000000000003,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,19002714,Mischief Motion,4,0.0,7,7,7.45,90.517,2.057,27.5,100.6,1417.6,16.6,216.00000000000003,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|19002714
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,21003278,Weekend Wife,8,6.5,7,5,7.14,7.134,0.602,10.3,100.7,100.7,0.0,0.0,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|21003278
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,21003278,Weekend Wife,8,6.0,6,5,5.65,12.788,0.655,11.9,100.6,201.3,14.1,14.1,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|21003278
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,21003278,Weekend Wife,8,5.5,6,5,5.61,18.401,0.572,10.3,100.6,301.9,13.8,27.9,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|21003278
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,21003278,Weekend Wife,8,5.0,6,5,5.69,24.099,0.559,9.8,100.6,402.5,13.7,41.599999999999994,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|21003278
LRL,2025-12-12,1,7.0,F,7F,D,SOC,27900,21003278,Weekend Wife,8,4.5,5,5,5.79,29.888,0.6,10.3,100.6,503.1,13.9,55.49999999999999,0,0,7.0,1408.176,7F,0,LRL|2025-12-12|1,LRL|2025-12-12|1|21003278
