has_gps_data,registration_number,horse_name,pp_track,pp_race_date,pp_race_number,pp_country,race_type,grade,distance_id,about_distance_indicator,distance,surface,post_position,position_at_point_of_call_1,position_at_point_of_call_2,position_at_point_of_call_3,position_at_point_of_call_4,position_at_point_of_call_5,official_position,length_behind_at_poc_1,length_behind_at_poc_2,length_behind_at_poc_3,length_behind_at_poc_4,length_behind_at_poc_5,length_behind_at_finish,length_ahead_at_poc_1,length_ahead_at_poc_2,length_ahead_at_poc_3,length_ahead_at_poc_4,length_ahead_at_poc_5,length_ahead_at_finish,post_time_odds,field_size,purse,pp_id
 ,22017307,A Cozy Thing,MED,2025-10-10,4,USA,AOC, ,5.0, ,5F,T,11,9,9,0,0,5,3,810,780,0,0,750,325,100,200,0,0,10,100,144,11,53550,22017307_MED_2025-10-10_4
 ,22017307,A Cozy Thing,CT ,2025-10-30,1,USA,CLM, ,6.5, ,6 1/2F,D,4,6,5,0,0,4,3,770,700,0,0,650,460,300,200,0,0,300,50,27,7,21500,22017307_CT_2025-10-30_1
X,22017307,A Cozy Thing,LRL,2025-11-28,2,USA,SOC, ,8.0, ,1M,D,4,5,7,6,0,5,4,170,420,570,0,810,575,100,200,150,0,400,500,208,8,25740,22017307_LRL_2025-11-28_2
X,21003092,A P M Notion,LRL,2025-10-25,7,USA,CLM, ,6.0, ,6F,D,6,6,4,0,0,4,4,520,410,0,0,550,975,150,100,0,0,250,50,84,8,25700,21003092_LRL_2025-10-25_7
X,21003092,A P M Notion,LRL,2025-11-15,10,USA,CLM, ,5.5, ,5 1/2F,D,4,6,6,0,0,7,6,560,800,0,0,1100,1525,250,150,0,0,0,50,181,7,23220,21003092_LRL_2025-11-15_10
X,21003092,A P M Notion,LRL,2025-12-07,1,USA,CLM, ,6.0, ,6F,D,8,6,6,0,0,5,4,460,1160,0,0,850,625,10,50,0,0,200,100,830,8,23390,21003092_LRL_2025-12-07_1
X,21003092,A P M Notion,LRL,2025-12-28,6,USA,CLM, ,7.0, ,7F,D,5,3,2,0,0,4,8,300,100,0,0,550,2225,10,100,0,0,150,275,606,9,24550,21003092_LRL_2025-12-28_6
X,21003092,A P M Notion,LRL,2026-01-09,5,USA,CLM, ,6.0, ,6F,D,7,6,9,0,0,9,9,510,870,0,0,1460,3325,10,0,0,0,0,0,961,9,19910,21003092_LRL_2026-01-09_5
X,23002277,Above the Norm,GP ,2025-11-01,5,USA,MSW, ,8.0, ,1M,D,7,3,4,7,0,8,8,150,200,1000,0,1660,4725,10,50,150,0,0,0,66,8,70000,23002277_GP_2025-11-01_5
X,23002277,Above the Norm,LRL,2025-12-21,3,USA,MCL, ,6.0, ,6F,D,1,1,1,0,0,3,3,0,0,0,0,350,700,300,10,0,0,150,175,7,9,28400,23002277_LRL_2025-12-21_3
X,22018737,Ade,LRL,2025-11-16,5,USA,CLM, ,6.0, ,6F,D,5,3,4,0,0,3,3,150,600,0,0,600,375,10,10,0,0,100,5,72,9,24550,22018737_LRL_2025-11-16_5
X,22018737,Ade,LRL,2025-11-28,2,USA,SOC, ,8.0, ,1M,D,5,2,4,4,0,3,2,50,160,270,0,410,425,10,200,100,0,300,25,118,8,25740,22018737_LRL_2025-11-28_2
X,22018737,Ade,LRL,2025-12-07,5,USA,CLM, ,8.0, ,1M,D,1,3,4,2,0,2,1,200,210,10,0,10,0,150,50,50,0,300,5,17,8,26030,22018737_LRL_2025-12-07_5
X,22018737,Ade,LRL,2025-12-26,3,USA,CLM, ,8.5, ,1 1/16M,D,3,4,5,4,0,2,2,310,310,210,0,50,200,150,150,10,0,250,425,12,6,24700,22018737_LRL_2025-12-26_3
X,20012355,Admit Nothing,LRL,2025-09-21,2,USA,CLM, ,8.5, ,1 1/16M,D,6,4,4,4,0,2,3,450,350,260,0,350,600,150,50,150,0,50,25,62,6,20400,20012355_LRL_2025-09-21_2
 ,20012355,Admit Nothing,CT ,2025-10-03,8,USA,CLM, ,8.5, ,1 1/16M,D,5,2,2,2,0,1,2,50,50,50,0,0,50,100,50,10,0,10,250,31,8,16300,20012355_CT_2025-10-03_8
X,20012355,Admit Nothing,LRL,2025-11-16,10,USA,CLM, ,8.0, ,1M,D,5,7,7,7,0,5,3,1200,1300,810,0,1010,1025,250,500,1500,0,150,100,61,8,21030,20012355_LRL_2025-11-16_10
X,20012355,Admit Nothing,LRL,2025-12-14,1,USA,CLM, ,8.5, ,1 1/16M,D,4,2,5,7,0,7,7,800,1260,1350,0,1700,3200,10,100,0,0,0,0,201,7,22400,20012355_LRL_2025-12-14_1
 ,22009792,Aeronyx,FP ,2025-07-22,3,USA,MCL, ,5.5, ,5 1/2F,D,2,2,1,0,0,1,2,150,0,0,0,0,75,50,50,0,0,50,5,14,5,12000,22009792_FP_2025-07-22_3
 ,22009792,Aeronyx,FP ,2025-09-27,7,USA,MSW, ,6.0, ,6F,D,1,2,3,0,0,2,2,50,250,0,0,600,1350,10,100,0,0,150,350,13,7,15000,22009792_FP_2025-09-27_7
 ,22009792,Aeronyx,FP ,2025-10-14,3,USA,MSW, ,6.0, ,6F,D,4,2,2,0,0,2,3,500,700,0,0,600,575,50,400,0,0,250,900,72,6,15000,22009792_FP_2025-10-14_3
X,22004135,Aggro,CD ,2025-10-29,6,USA,CLM, ,8.0, ,1M,D,12,2,2,1,0,1,2,50,50,0,0,0,200,100,100,200,0,50,200,52,12,58000,22004135_CD_2025-10-29_6
X,22004135,Aggro,CD ,2025-11-22,7,USA,CLM, ,8.5, ,1 1/16M,D,1,2,2,2,0,5,5,150,150,250,0,610,1200,10,50,200,0,300,25,88,9,63000,22004135_CD_2025-11-22_7
X,22004135,Aggro,TP ,2025-12-04,3,USA,CLM, ,6.0, ,6F,D,1,6,7,0,0,7,7,520,680,0,0,470,505,150,10,0,0,200,25,352,9,43500,22004135_TP_2025-12-04_3
X,21013063,Albert Finnigan,LRL,2025-10-05,3,USA,MCL, ,8.0, ,1M,T,7,9,9,10,0,10,10,1350,870,1860,0,3270,2905,150,150,0,0,0,0,919,10,32000,21013063_LRL_2025-10-05_3
X,21013063,Albert Finnigan,LRL,2025-11-02,3,USA,MCL, ,8.5, ,1 1/16M,D,7,5,5,5,0,5,5,500,1050,850,0,1100,1160,300,200,10,0,150,25,272,8,25700,21013063_LRL_2025-11-02_3
X,21013063,Albert Finnigan,LRL,2025-11-27,1,USA,MCL, ,8.0, ,1M,D,3,5,7,9,0,8,7,450,760,720,0,580,825,100,100,0,0,150,50,324,9,25870,21013063_LRL_2025-11-27_1
X,20014884,Alilnalot,LRL,2025-09-07,2,USA,CLM, ,8.0, ,1M,D,4,1,1,4,0,6,6,0,0,470,0,1270,2225,50,10,250,0,0,0,28,6,19620,20014884_LRL_2025-09-07_2
X,20014884,Alilnalot,LRL,2025-11-16,10,USA,CLM, ,8.0, ,1M,D,2,2,4,6,0,4,4,50,300,660,0,1000,1125,300,100,150,0,10,175,12,8,21030,20014884_LRL_2025-11-16_10
 ,20014884,Alilnalot,PRX,2025-12-09,1,USA,CLM, ,8.32, ,1M 70Y,D,7,1,2,1,0,1,1,0,10,0,0,0,0,10,250,50,0,10,75,62,11,18000,20014884_PRX_2025-12-09_1
X,22019160,All the Hardways,LRL,2025-10-11,11,USA,STK, ,9.0, ,1 1/8M,D,6,4,4,4,0,5,5,560,350,450,0,810,1300,100,100,100,0,250,700,374,6,150000,22019160_LRL_2025-10-11_11
X,22019160,All the Hardways,LRL,2025-10-31,9,USA,ALW, ,8.0, ,1M,D,1,3,3,4,0,3,3,250,400,500,0,800,1200,10,50,350,0,10,75,6,5,48000,22019160_LRL_2025-10-31_9
X,22019160,All the Hardways,LRL,2025-11-30,4,USA,ALW, ,6.0, ,6F,D,6,2,2,0,0,2,3,10,300,0,0,150,150,100,50,0,0,10,50,34,6,48000,22019160_LRL_2025-11-30_4
X,22019160,All the Hardways,LRL,2025-12-13,8,USA,ALW, ,8.0, ,1M,D,3,2,3,4,0,3,5,100,200,160,0,200,975,50,50,150,0,10,575,23,6,48000,22019160_LRL_2025-12-13_8
X,22019160,All the Hardways,LRL,2025-12-26,8,USA,ALW, ,5.5, ,5 1/2F,D,4,6,6,0,0,5,1,920,820,0,0,500,0,50,250,0,0,200,50,102,8,49000,22019160_LRL_2025-12-26_8
X,20015303,Alvy,LRL,2025-10-11,3,USA,SHP, ,7.0, ,7F,D,3,10,11,0,0,10,4,1200,1710,0,0,1170,400,250,0,0,0,300,25,84,11,40800,20015303_LRL_2025-10-11_3
X,20015303,Alvy,LRL,2025-10-31,9,USA,ALW, ,8.0, ,1M,D,3,5,4,5,0,5,5,360,450,850,0,1210,1450,0,10,0,0,0,0,57,5,48000,20015303_LRL_2025-10-31_9
X,20015303,Alvy,LRL,2025-11-29,5,USA,SOC, ,8.5, ,1 1/16M,D,2,9,9,8,0,7,4,910,980,1010,0,620,325,0,0,500,0,250,200,178,9,31370,20015303_LRL_2025-11-29_5
X,22009137,Amadea,LRL,2025-11-07,8,USA,MCL, ,8.0, ,1M,T,2,4,4,6,0,9,9,360,350,620,0,1010,980,150,50,10,0,0,0,675,9,43115,22009137_LRL_2025-11-07_8
X,22009137,Amadea,LRL,2025-11-29,1,USA,MCL, ,6.0, ,6F,D,8,7,8,0,0,8,6,710,1060,0,0,930,1175,50,300,0,0,200,50,89,10,26370,22009137_LRL_2025-11-29_1
 ,22009137,Amadea,CT ,2026-01-10,2,USA,MCL, ,7.0, ,7F,D,7,4,1,0,0,1,1,120,0,0,0,0,0,150,10,0,0,100,50,27,8,19100,22009137_CT_2026-01-10_2
X,22008443,Amazing Bernie,LRL,2025-10-18,7,USA,CLM, ,8.5, ,1 1/16M,D,7,8,8,4,0,1,1,720,870,460,0,0,0,500,700,200,0,10,350,17,9,25540,22008443_LRL_2025-10-18_7
X,22008443,Amazing Bernie,LRL,2025-11-23,5,USA,SOC, ,8.0, ,1M,D,8,5,4,7,0,7,8,450,200,760,0,1250,1630,50,100,200,0,100,5,191,9,26240,22008443_LRL_2025-11-23_5
X,22008443,Amazing Bernie,LRL,2025-12-06,5,USA,CLM, ,8.0, ,1M,D,2,4,4,5,0,5,4,400,400,360,0,760,925,50,100,150,0,50,50,175,9,23890,22008443_LRL_2025-12-06_5
X,22008443,Amazing Bernie,LRL,2025-12-27,9,USA,CLM, ,8.5, ,1 1/16M,D,5,7,6,6,0,5,5,910,720,800,0,710,1205,0,100,700,0,100,225,206,7,22560,22008443_LRL_2025-12-27_9
 ,22006616,American Litigator,FL ,2025-10-13,6,USA,MSW, ,6.0, ,6F,D,7,6,6,0,0,5,5,400,750,0,0,760,650,100,100,0,0,100,575,18,7,32600,22006616_FL_2025-10-13_6
 ,22006616,American Litigator,FL ,2025-11-03,6,USA,MSW, ,8.32, ,1M 70Y,D,8,8,7,5,0,4,1,1160,960,750,0,400,0,0,300,500,0,200,175,28,8,32600,22006616_FL_2025-11-03_6
 ,22006616,American Litigator,FL ,2025-11-19,8,USA,CLM, ,8.0, ,1M,D,5,4,3,6,0,6,6,250,200,270,0,500,950,10,10,100,0,400,775,85,7,17500,22006616_FL_2025-11-19_8
X,22006616,American Litigator,LRL,2026-01-09,1,USA,CLM, ,8.0, ,1M,D,4,8,7,9,0,9,9,470,600,780,0,1710,2585,10,10,0,0,0,0,90,9,25870,22006616_LRL_2026-01-09_1
X,22007910,And Sum,LRL,2025-11-22,9,USA,MSW, ,6.0, ,6F,D,6,1,1,0,0,1,1,0,0,0,0,0,0,10,10,0,0,400,675,53,8,54345,22007910_LRL_2025-11-22_9
X,22007910,And Sum,LRL,2025-12-26,8,USA,ALW, ,5.5, ,5 1/2F,D,5,1,2,0,0,2,6,0,10,0,0,150,335,10,300,0,0,200,175,26,8,49000,22007910_LRL_2025-12-26_8
X,21010411,Anita Beer,LRL,2025-09-07,4,USA,MCL, ,7.0, ,7F,D,5,1,1,0,0,1,1,0,0,0,0,0,0,100,50,0,0,50,10,12,8,25240,21010411_LRL_2025-09-07_4
 ,21010411,Anita Beer,DEL,2025-10-15,8,USA,CLM, ,5.5, ,5 1/2F,D,2,6,4,0,0,3,6,230,310,0,0,150,145,200,10,0,0,100,25,61,11,21000,21010411_DEL_2025-10-15_8
X,21010411,Anita Beer,LRL,2025-10-25,7,USA,CLM, ,6.0, ,6F,D,2,1,1,0,0,1,1,0,0,0,0,0,0,300,200,0,0,300,550,34,8,25700,21010411_LRL_2025-10-25_7
X,21010411,Anita Beer,LRL,2025-12-12,3,USA,SOC, ,6.0, ,6F,D,6,2,2,0,0,2,3,10,10,0,0,250,925,50,100,0,0,50,200,341,6,30450,21010411_LRL_2025-12-12_3
X,22007066,Anotherhope,LRL,2025-10-26,4,USA,CLM, ,6.0, ,6F,D,8,4,2,0,0,2,1,160,150,0,0,10,0,100,100,0,0,10,25,37,9,26530,22007066_LRL_2025-10-26_4
X,22007066,Anotherhope,LRL,2025-11-16,5,USA,CLM, ,6.0, ,6F,D,6,6,6,0,0,5,4,510,760,0,0,750,380,10,100,0,0,250,625,36,9,24550,22007066_LRL_2025-11-16_5
X,22007066,Anotherhope,LRL,2025-12-07,5,USA,CLM, ,8.0, ,1M,D,7,7,6,4,0,3,3,550,410,110,0,310,280,100,200,200,0,100,450,96,8,26030,22007066_LRL_2025-12-07_5
X,22007066,Anotherhope,LRL,2025-12-27,6,USA,SOC, ,6.0, ,6F,D,8,5,4,0,0,1,2,710,360,0,0,0,5,200,50,0,0,10,125,47,9,28760,22007066_LRL_2025-12-27_6
X,22006107,Apolaustic,LRL,2025-10-12,1,USA,MCL, ,8.5, ,1 1/16M,T,1,12,12,12,0,12,12,1760,1180,1240,0,1570,1560,0,0,0,0,0,0,271,12,29180,22006107_LRL_2025-10-12_1
X,22006107,Apolaustic,LRL,2025-11-09,3,USA,MCL, ,5.5, ,5 1/2F,T,8,10,10,0,0,10,8,920,860,0,0,690,255,0,0,0,0,0,100,540,10,28540,22006107_LRL_2025-11-09_3
X,22006107,Apolaustic,LRL,2025-11-30,6,USA,MCL, ,6.0, ,6F,D,8,8,8,0,0,8,7,1600,1650,0,0,1200,1230,100,10,0,0,50,200,308,10,25050,22006107_LRL_2025-11-30_6
X,23009535,Aqua Blaze,LRL,2025-12-19,7,USA,MCL, ,6.0, ,6F,D,2,4,3,0,0,3,3,460,200,0,0,210,525,200,600,0,0,800,425,60,7,42730,23009535_LRL_2025-12-19_7
X,21005837,Ariel Moon,LRL,2025-11-01,3,USA,SOC, ,5.5, ,5 1/2F,T,2,10,8,0,0,8,2,810,760,0,0,480,200,100,10,0,0,10,75,35,12,27740,21005837_LRL_2025-11-01_3
X,21005837,Ariel Moon,LRL,2025-11-22,1,USA,SOC, ,5.5, ,5 1/2F,T,7,8,7,0,0,6,6,420,570,0,0,660,475,100,150,0,0,250,200,30,9,28040,21005837_LRL_2025-11-22_1
X,21005837,Ariel Moon,LRL,2025-12-07,1,USA,CLM, ,6.0, ,6F,D,6,1,1,0,0,1,3,0,0,0,0,0,200,100,400,0,0,150,425,58,8,23390,21005837_LRL_2025-12-07_1
X,22007116,Arise My Love,LRL,2025-09-20,1,USA,SOC, ,9.0, ,1 1/8M,T,3,1,1,1,0,3,5,0,0,0,0,250,605,50,50,10,0,150,10,60,6,30450,22007116_LRL_2025-09-20_1
X,22007116,Arise My Love,LRL,2025-10-24,3,USA,CLM, ,9.0, ,1 1/8M,T,9,7,8,8,0,8,3,910,710,700,0,430,250,200,200,150,0,200,75,179,9,42100,22007116_LRL_2025-10-24_3
X,22007116,Arise My Love,LRL,2025-12-05,7,USA,ALW, ,8.5, ,1 1/16M,D,2,4,5,4,0,2,3,220,360,560,0,500,975,150,250,200,0,100,300,406,8,50735,22007116_LRL_2025-12-05_7
X,16011638,Armando R,LRL,2025-09-21,4,USA,SOC, ,8.5, ,1 1/16M,D,1,6,7,7,0,2,1,1160,920,720,0,150,0,150,0,0,0,10,225,19,7,30370,16011638_LRL_2025-09-21_4
X,16011638,Armando R,LRL,2025-10-18,2,USA,SOC, ,9.0, ,1 1/8M,D,4,6,6,6,0,2,1,900,850,750,0,250,0,0,0,0,0,100,125,23,6,29435,16011638_LRL_2025-10-18_2
X,16011638,Armando R,LRL,2025-11-29,5,USA,SOC, ,8.5, ,1 1/16M,D,3,7,8,7,0,6,1,660,880,860,0,420,0,50,100,150,0,200,50,18,9,31370,16011638_LRL_2025-11-29_5
 ,21007943,Arrow Speed,PRX,2025-09-03,5,USA,CLM, ,8.32, ,1M 70Y,D,2,1,1,2,0,2,2,0,0,50,0,150,350,100,50,250,0,500,325,6,5,32000,21007943_PRX_2025-09-03_5
 ,21007943,Arrow Speed,DEL,2025-09-25,3,USA,CLM, ,8.32, ,1M 70Y,D,4,7,5,4,0,3,3,550,310,160,0,100,50,0,50,50,0,10,200,52,7,30000,21007943_DEL_2025-09-25_3
X,21007943,Arrow Speed,LRL,2025-11-23,7,USA,SOC, ,8.0, ,1M,D,9,8,8,7,0,6,6,810,860,810,0,860,725,600,100,500,0,350,1175,56,10,39055,21007943_LRL_2025-11-23_7
X,22002517,Artist Mark,LRL,2025-09-27,11,USA,MCL, ,6.0, ,6F,D,7,6,3,0,0,1,1,450,20,0,0,0,0,250,10,0,0,10,175,9,9,24550,22002517_LRL_2025-09-27_11
X,22002517,Artist Mark,LRL,2025-10-31,2,USA,SOC, ,7.0, ,7F,D,5,2,1,0,0,2,2,10,0,0,0,200,675,200,10,0,0,100,200,34,6,26180,22002517_LRL_2025-10-31_2
X,22002517,Artist Mark,LRL,2025-11-14,2,USA,CLM, ,5.5, ,5 1/2F,D,6,5,4,0,0,4,5,600,650,0,0,650,600,300,100,0,0,200,75,23,9,23560,22002517_LRL_2025-11-14_2
X,22002517,Artist Mark,LRL,2025-12-21,4,USA,CLM, ,7.0, ,7F,D,2,2,1,0,0,1,1,150,0,0,0,0,0,100,10,0,0,500,275,28,7,23550,22002517_LRL_2025-12-21_4
X,23004276,As the Bell Toles,LRL,2025-10-10,5,USA,MSW, ,5.5, ,5 1/2F,T,6,2,7,0,0,7,7,100,760,0,0,1000,435,10,250,0,0,250,350,54,10,49000,23004276_LRL_2025-10-10_5
X,23004276,As the Bell Toles,LRL,2025-10-31,7,USA,MSW, ,5.5, ,5 1/2F,D,6,5,5,0,0,5,4,310,610,0,0,950,860,450,300,0,0,250,275,41,11,54435,23004276_LRL_2025-10-31_7
X,23004276,As the Bell Toles,LRL,2025-11-21,1,USA,MSW, ,5.5, ,5 1/2F,T,9,10,11,0,0,11,9,1150,1130,0,0,970,495,10,0,0,0,0,100,86,11,49500,23004276_LRL_2025-11-21_1
 ,23011865,Astrid,DEL,2025-09-13,5,USA,MCL, ,6.0, ,6F,D,4,4,3,0,0,4,4,70,300,0,0,200,385,100,100,0,0,200,5,81,10,30000,23011865_DEL_2025-09-13_5
 ,23011865,Astrid,PRX,2025-10-27,3,USA,MCL, ,8.0, ,1M,D,3,1,1,1,0,1,1,0,0,0,0,0,0,50,150,300,0,500,400,20,5,19000,23011865_PRX_2025-10-27_3
X,23011865,Astrid,LRL,2025-12-07,7,USA,AOC, ,8.5, ,1 1/16M,D,3,2,2,2,0,5,5,200,100,200,0,900,2100,200,150,10,0,1000,1925,234,6,49735,23011865_LRL_2025-12-07_7
X,21009929,Atlantic Cat,CD ,2024-09-20,10,USA,MCL, ,7.0, ,7F,D,5,7,5,0,0,8,9,760,800,0,0,720,1335,400,50,0,0,50,0,68,9,60000,21009929_CD_2024-09-20_10
X,20014281,Atlas Strong,LRL,2025-10-11,10,USA,STK, ,8.5, ,1 1/16M,T,8,4,5,6,0,6,5,400,560,570,0,420,550,50,10,10,0,150,125,133,8,125000,20014281_LRL_2025-10-11_10
X,20014281,Atlas Strong,LRL,2025-11-08,5,USA,SOC, ,8.0, ,1M,T,3,5,6,4,0,4,5,460,600,360,0,350,225,200,100,10,0,150,50,107,10,34045,20014281_LRL_2025-11-08_5
X,20014281,Atlas Strong,LRL,2025-11-30,3,USA,SOC, ,8.5, ,1 1/16M,D,4,5,4,3,0,3,3,350,450,400,0,210,525,200,200,700,0,700,975,38,7,29935,20014281_LRL_2025-11-30_3
X,21014582,Audibly,LRL,2025-09-28,8,USA,ALW, ,8.0, ,1M,D,4,6,6,6,0,5,4,720,860,670,0,800,675,0,0,0,0,250,50,104,6,50470,21014582_LRL_2025-09-28_8
X,21014582,Audibly,LRL,2025-10-31,8,USA,ALW, ,9.0, ,1 1/8M,D,4,6,6,6,0,5,2,900,750,860,0,550,300,0,0,0,0,300,25,293,6,53410,21014582_LRL_2025-10-31_8
X,21014582,Audibly,LRL,2025-12-05,7,USA,ALW, ,8.5, ,1 1/16M,D,8,8,8,7,0,3,2,1080,960,910,0,600,500,0,0,1200,0,100,475,228,8,50735,21014582_LRL_2025-12-05_7
X,21001939,Autumn in Vermont,LRL,2025-06-29,10,USA,MCL, ,6.0, ,6F,D,2,5,3,0,0,3,3,420,360,0,0,460,625,0,400,0,0,1200,1450,26,5,26760,21001939_LRL_2025-06-29_10
X,21001939,Autumn in Vermont,LRL,2025-11-08,10,USA,MCL, ,6.0, ,6F,D,9,5,5,0,0,4,4,360,370,0,0,710,1330,150,150,0,0,100,225,73,9,26200,21001939_LRL_2025-11-08_10
X,21001939,Autumn in Vermont,LRL,2025-11-29,1,USA,MCL, ,6.0, ,6F,D,5,9,7,0,0,6,5,1160,1050,0,0,680,900,450,10,0,0,100,275,145,10,26370,21001939_LRL_2025-11-29_1
 ,23006925,Awesome Andy,DEL,2025-10-09,3,USA,MSW, ,6.0, ,6F,D,3,1,2,0,0,1,3,0,10,0,0,0,235,10,10,0,0,10,75,65,7,45000,23006925_DEL_2025-10-09_3
X,23006925,Awesome Andy,LRL,2025-11-08,7,USA,MSW, ,6.0, ,6F,D,4,3,3,0,0,3,3,250,550,0,0,510,975,10,300,0,0,350,600,5,10,49000,23006925_LRL_2025-11-08_7
X,23006925,Awesome Andy,LRL,2025-11-29,3,USA,MSW, ,7.0, ,7F,D,6,3,4,0,0,3,2,410,1110,0,0,650,250,50,150,0,0,150,75,13,9,48500,23006925_LRL_2025-11-29_3
X,23006925,Awesome Andy,LRL,2025-12-20,3,USA,MSW, ,7.0, ,7F,D,3,5,4,0,0,2,1,900,650,0,0,150,0,50,10,0,0,100,250,10,7,47500,23006925_LRL_2025-12-20_3
X,23006925,Awesome Andy,LRL,2026-01-09,8,USA,AOC, ,5.5, ,5 1/2F,D,1,4,2,0,0,1,1,250,50,0,0,0,0,150,100,0,0,10,75,28,7,50235,23006925_LRL_2026-01-09_8
 ,19007054,Aztec,PRX,2025-10-21,8,USA,CLM, ,8.32, ,1M 70Y,D,7,2,2,2,0,2,2,50,50,50,0,250,425,50,150,50,0,10,25,33,8,28000,19007054_PRX_2025-10-21_8
 ,19007054,Aztec,PRX,2025-11-19,8,USA,CLM, ,8.32, ,1M 70Y,D,5,4,4,3,0,2,1,510,360,110,0,100,0,100,100,10,0,400,50,8,5,28000,19007054_PRX_2025-11-19_8
X,19007054,Aztec,AQU,2025-12-27,4,USA,CLM, ,8.0, ,1M,D,2,8,7,6,0,3,2,490,410,550,0,450,25,400,200,250,0,100,100,35,9,38000,19007054_AQU_2025-12-27_4
X,20006008,B West,LRL,2025-09-19,4,USA,CLM, ,6.0, ,6F,D,7,4,4,0,0,4,3,220,260,0,0,210,175,450,300,0,0,250,375,19,7,19180,20006008_LRL_2025-09-19_4
X,20006008,B West,LRL,2025-10-31,6,USA,SOC, ,6.0, ,6F,D,6,7,6,0,0,4,2,1060,600,0,0,300,75,150,50,0,0,100,250,54,8,27540,20006008_LRL_2025-10-31_6
X,20006008,B West,LRL,2025-11-21,2,USA,SOC, ,6.0, ,6F,D,8,7,8,0,0,5,1,920,1150,0,0,800,0,150,50,0,0,10,5,56,9,25520,20006008_LRL_2025-11-21_2
 ,23014027,Babble,DEL,2025-07-16,2,USA,MCL, ,5.5, ,5 1/2F,D,1,5,5,0,0,5,6,220,660,0,0,900,2700,600,400,0,0,200,0,199,6,28000,23014027_DEL_2025-07-16_2
X,23014027,Babble,LRL,2025-12-21,3,USA,MCL, ,6.0, ,6F,D,9,6,6,0,0,6,7,800,660,0,0,1100,1925,50,300,0,0,250,500,933,9,28400,23014027_LRL_2025-12-21_3
X,23014027,Babble,LRL,2026-01-09,6,USA,MCL, ,6.0, ,6F,D,5,10,10,0,0,7,8,1620,1620,0,0,480,855,800,300,0,0,400,175,937,11,24890,23014027_LRL_2026-01-09_6
X,20004641,Baby Sox,LRL,2025-10-12,2,USA,CLM, ,8.0, ,1M,D,4,4,4,2,0,2,2,200,260,150,0,300,200,10,10,50,0,800,425,7,5,18000,20004641_LRL_2025-10-12_2
X,20004641,Baby Sox,LRL,2025-11-27,5,USA,CLM, ,8.0, ,1M,D,3,8,8,6,0,7,7,770,670,610,0,1160,2130,700,600,10,0,250,175,40,9,21530,20004641_LRL_2025-11-27_5
X,20004641,Baby Sox,LRL,2025-12-05,8,USA,CLM, ,6.0, ,6F,D,7,5,5,0,0,7,7,950,1250,0,0,1400,1350,300,150,0,0,0,0,89,7,19450,20004641_LRL_2025-12-05_8
 ,21004573,Back Forty,PEN,2025-07-18,6,USA,AOC, ,6.0, ,6F,D,3,1,1,0,0,1,1,0,0,0,0,0,0,150,150,0,0,300,425,15,6,39000,21004573_PEN_2025-07-18_6
 ,21004573,Back Forty,PEN,2025-08-29,2,USA,AOC, ,6.0, ,6F,D,1,4,4,0,0,3,3,260,550,0,0,250,300,0,0,0,0,300,700,15,4,36000,21004573_PEN_2025-08-29_2
 ,21004573,Back Forty,PEN,2025-10-30,5,USA,CLM, ,6.0, ,6F,D,5,2,2,0,0,2,1,100,150,0,0,100,0,250,450,0,0,350,300,14,5,28000,21004573_PEN_2025-10-30_5
X,19002713,Backnthewoods,LRL,2025-10-12,4,USA,CLM, ,5.5, ,5 1/2F,D,6,1,1,0,0,1,1,0,0,0,0,0,0,100,200,0,0,100,25,8,7,18640,19002713_LRL_2025-10-12_4
X,19002713,Backnthewoods,LRL,2025-10-31,6,USA,SOC, ,6.0, ,6F,D,2,2,1,0,0,1,4,10,0,0,0,0,330,200,50,0,0,50,175,207,8,27540,19002713_LRL_2025-10-31_6
X,19002713,Backnthewoods,LRL,2025-12-06,1,USA,CLM, ,6.0, ,6F,D,6,5,2,0,0,4,4,310,250,0,0,410,475,300,10,0,0,500,700,30,6,18680,19002713_LRL_2025-12-06_1
X,19002713,Backnthewoods,LRL,2025-12-14,1,USA,CLM, ,8.5, ,1 1/16M,D,3,1,1,1,0,3,4,0,0,0,0,600,1375,800,1000,300,0,150,250,48,7,22400,19002713_LRL_2025-12-14_1
X,19002713,Backnthewoods,LRL,2025-12-26,1,USA,CLM, ,6.0, ,6F,D,11,1,1,0,0,1,5,0,0,0,0,0,375,150,300,0,0,10,10,70,11,23070,19002713_LRL_2025-12-26_1
X,21005178,Backstretch Rose,LRL,2025-09-28,8,USA,ALW, ,8.0, ,1M,D,6,5,5,3,0,1,1,420,410,160,0,0,0,300,450,150,0,200,200,79,6,50470,21005178_LRL_2025-09-28_8
X,21005178,Backstretch Rose,KEE,2025-10-25,1,USA,STR, ,8.5, ,1 1/16M,D,1,8,8,8,0,6,5,850,1000,900,0,530,435,100,200,300,0,100,150,90,9,69000,21005178_KEE_2025-10-25_1
X,21005178,Backstretch Rose,LRL,2025-11-09,9,USA,STK, ,8.5, ,1 1/16M,D,1,7,7,7,0,4,3,600,560,710,0,510,350,0,0,0,0,10,125,54,7,100000,21005178_LRL_2025-11-09_9
 ,20019117,Bad Connection,FL ,2025-11-13,1,USA,ALW, ,5.5, ,5 1/2F,D,5,1,2,0,0,3,4,0,10,0,0,410,1025,50,100,0,0,100,10,418,6,24500,20019117_FL_2025-11-13_1
